idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada
517,Barcelona,Villarreal,2,0,2018-19
518,Betis,Real Sociedad,1,0,2018-19
519,Girona,Atletico de Madrid,1,1,2018-19
520,Levante,Athletic Club,3,0,2018-19
521,Leganes,Getafe,1,1,2018-19
522,Atletico de Madrid,Alaves,3,0,2018-19
523,Espanyol,Barcelona,0,4,2018-19
524,Villarreal,Celta Vigo,2,3,2018-19
525,Valencia,Sevilla,1,1,2018-19
526,Betis,Rayo Vallecano,2,0,2018-19
527,Eibar,Levante,4,4,2018-19
528,Huesca,Real Madrid,0,1,2018-19
529,Real Sociedad,Valladolid,1,2,2018-19
530,Athletic Club,Girona,1,0,2018-19
531,Celta Vigo,Leganes,0,0,2018-19
532,Eibar,Valencia,1,1,2018-19
533,Getafe,Real Sociedad,1,0,2018-19
534,Valladolid,Atletico de Madrid,2,3,2018-19
535,Real Madrid,Rayo Vallecano,1,0,2018-19
536,Huesca,Villarreal,2,2,2018-19
537,Levante,Barcelona,0,5,2018-19
538,Espanyol,Betis,1,3,2018-19
539,Sevilla,Girona,2,0,2018-19
540,Alaves,Athletic Club,0,0,2018-19
541,Real Sociedad,Alaves,0,1,2018-19
542,Girona,Getafe,1,1,2018-19
543,Athletic Club,Valladolid,1,1,2018-19
544,Atletico de Madrid,Espanyol,1,0,2018-19
545,Barcelona,Celta Vigo,2,0,2018-19
546,Betis,Eibar,1,1,2018-19
547,Leganes,Sevilla,1,1,2018-19
548,Valencia,Huesca,2,1,2018-19
549,Rayo Vallecano,Levante,2,1,2018-19
550,Villarreal,Real Madrid,2,2,2018-19
551,Espanyol,Leganes,1,0,2018-19
552,Levante,Girona,2,2,2018-19
553,Alaves,Valencia,2,1,2018-19
554,Huesca,Betis,2,1,2018-19
555,Valladolid,Rayo Vallecano,0,1,2018-19
556,Eibar,Villarreal,0,0,2018-19
557,Real Madrid,Real Sociedad,0,2,2018-19
558,Sevilla,Atletico de Madrid,1,1,2018-19
559,Getafe,Barcelona,1,2,2018-19
560,Celta Vigo,Athletic Club,1,2,2018-19
561,Rayo Vallecano,Celta Vigo,4,2,2018-19
562,Valencia,Valladolid,1,1,2018-19
563,Girona,Alaves,1,1,2018-19
564,Villarreal,Getafe,1,2,2018-19
565,Leganes,Huesca,1,0,2018-19
566,Athletic Club,Sevilla,2,0,2018-19
567,Atletico de Madrid,Levante,1,0,2018-19
568,Barcelona,Eibar,3,0,2018-19
569,Betis,Real Madrid,1,2,2018-19
570,Real Sociedad,Espanyol,3,2,2018-19
571,Getafe,Alaves,4,0,2018-19
572,Celta Vigo,Valencia,1,2,2018-19
573,Real Madrid,Sevilla,2,0,2018-19
574,Huesca,Atletico de Madrid,0,3,2018-19
575,Barcelona,Leganes,3,1,2018-19
576,Betis,Girona,3,2,2018-19
577,Levante,Valladolid,2,0,2018-19
578,Rayo Vallecano,Real Sociedad,2,2,2018-19
579,Villarreal,Athletic Club,1,1,2018-19
580,Eibar,Espanyol,3,0,2018-19
581,Atletico de Madrid,Getafe,2,0,2018-19
582,Valencia,Villarreal,3,0,2018-19
583,Leganes,Eibar,2,2,2018-19
584,Sevilla,Levante,5,0,2018-19
585,Athletic Club,Betis,1,0,2018-19
586,Espanyol,Real Madrid,2,4,2018-19
587,Girona,Barcelona,0,2,2018-19
588,Valladolid,Celta Vigo,2,1,2018-19
589,Real Sociedad,Huesca,0,0,2018-19
590,Alaves,Rayo Vallecano,0,1,2018-19
591,Huesca,Valladolid,4,0,2018-19
