Equipo,PL,90 Jugados,ACT,SCA90,PassLiveSCA,PassDeadSCA,TakeOnsSCA,ShotsSCA,FouledSCA,DefenseSCA,ACG,GCA90,PassLiveGCA,PassDeadGCA,TakeOnsGCA,ShotsGCA,FouledGCA,DefenseGCA,Temporada
Real Sociedad,27,38.0,744,19.58,550,70,34,40,39,11,92,2.42,69,6,4,6,2,5,2019-2020
Sevilla,26,38.0,873,22.97,636,90,51,42,42,12,89,2.34,58,8,10,5,8,0,2019-2020
Valencia,28,38.0,612,16.11,445,53,39,22,43,10,80,2.11,56,5,8,2,9,0,2019-2020
Valladolid,30,38.0,647,17.03,453,47,46,31,58,12,53,1.39,34,2,4,6,7,0,2019-2020
Villarreal,25,38.0,864,22.74,642,66,60,44,37,15,108,2.84,71,5,10,10,11,1,2019-2020
Alavés,30,38.0,595,15.66,375,98,24,35,50,13,59,1.55,28,10,3,5,9,4,2020-2021
Athletic Club,27,38.0,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1,2020-2021
Atlético Madrid,25,38.0,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1,2020-2021
Barcelona,25,38.0,1064,28.00,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1,2020-2021
Betis,25,38.0,799,21.03,578,74,59,39,36,13,91,2.39,58,12,6,5,9,1,2020-2021
Cádiz,34,38.0,517,13.61,330,65,38,27,42,15,53,1.39,37,2,3,6,4,1,2020-2021
Celta Vigo,30,38.0,624,16.42,460,51,31,36,38,8,98,2.58,69,6,5,6,10,2,2020-2021
Eibar,30,38.0,758,19.95,503,88,49,52,51,15,48,1.26,30,3,6,4,2,3,2020-2021
Elche,30,38.0,460,12.11,318,60,22,25,30,5,54,1.42,35,8,3,4,3,1,2020-2021
Getafe,31,38.0,618,16.26,413,70,37,37,52,9,38,1.00,22,0,6,6,4,0,2020-2021
Granada,34,38.0,592,15.58,387,66,37,43,50,9,69,1.82,45,4,5,9,4,2,2020-2021
Huesca,27,38.0,719,18.92,517,71,44,34,43,10,56,1.47,41,6,2,4,1,2,2020-2021
Levante,29,38.0,671,17.66,519,48,36,25,29,14,80,2.11,60,4,5,4,3,4,2020-2021
Osasuna,28,38.0,615,16.18,441,70,31,35,30,8,61,1.61,45,4,0,6,3,3,2020-2021
Real Madrid,30,38.0,981,25.82,745,79,55,51,41,10,114,3.00,89,6,8,5,4,2,2020-2021
Real Sociedad,30,38.0,749,19.71,532,76,35,45,48,13,100,2.63,72,9,2,9,8,0,2020-2021
Sevilla,26,38.0,830,21.84,635,61,55,36,35,8,87,2.29,65,4,8,6,4,0,2020-2021
Valencia,30,38.0,687,18.08,482,58,47,34,59,7,86,2.26,58,10,5,5,8,0,2020-2021
Valladolid,32,38.0,652,17.16,471,50,33,31,55,12,56,1.47,36,2,3,5,9,1,2020-2021
Villarreal,29,38.0,742,19.53,576,46,49,27,37,7,99,2.61,69,3,12,7,7,1,2020-2021
Alavés,33,38.0,628,16.53,392,88,38,46,53,11,48,1.26,27,6,4,5,6,0,2021-2022
Athletic Club,26,38.0,821,21.61,581,94,46,42,47,11,72,1.89,52,9,1,2,5,3,2021-2022
Atlético Madrid,26,38.0,828,21.79,593,86,56,41,40,12,111,2.92,86,6,5,8,3,3,2021-2022
Barcelona,38,38.0,942,24.79,728,62,68,34,41,9,123,3.24,95,5,7,8,6,2,2021-2022
Betis,31,38.0,902,23.74,670,75,55,46,41,15,94,2.47,65,5,10,5,8,1,2021-2022
Cádiz,33,38.0,687,18.08,459,86,38,47,41,16,55,1.45,32,7,3,5,6,2,2021-2022
Celta Vigo,25,38.0,701,18.45,540,43,25,50,34,9,70,1.84,52,2,3,11,1,1,2021-2022
Elche,28,38.0,592,15.58,426,60,42,23,28,13,68,1.79,50,4,7,3,2,2,2021-2022
Espanyol,34,38.0,721,18.97,521,59,47,40,41,13,67,1.76,45,5,4,8,3,2,2021-2022
Getafe,31,38.0,700,18.42,464,85,32,40,61,18,53,1.39,38,7,3,2,1,2,2021-2022
Granada,32,38.0,702,18.47,488,67,43,49,40,15,68,1.79,45,8,3,6,2,4,2021-2022
Levante,31,38.0,720,18.95,486,80,48,65,28,13,79,2.08,55,3,5,9,6,1,2021-2022
Mallorca,33,38.0,761,20.03,495,90,47,55,55,19,59,1.55,32,6,4,7,8,2,2021-2022
Osasuna,29,38.0,721,18.97,502,85,28,49,44,13,62,1.63,42,7,0,7,4,2,2021-2022
Rayo Vallecano,28,38.0,862,22.68,603,98,37,54,52,18,63,1.66,36,5,7,8,5,2,2021-2022
Real Madrid,31,38.0,1195,31.45,922,68,83,56,49,17,139,3.66,102,2,13,11,8,3,2021-2022
Real Sociedad,32,38.0,773,20.34,530,70,56,57,46,14,69,1.82,38,3,6,12,10,0,2021-2022
Sevilla,33,38.0,784,20.63,578,78,35,35,43,15,95,2.50,63,9,8,7,5,3,2021-2022
Valencia,34,38.0,718,18.89,479,93,45,26,64,11,83,2.18,53,8,7,3,11,1,2021-2022
