Equipo,PL,90 Jugados,Goles en contra,Penales concedidos,Goles de tiro libre,Goles de tiro de esquina,Goles propios,Goles esperados,PSxG/SoT,PSxG-GA,PSxG-GA/90,Pases completados (Iniciado),Pases intentados (Iniciado),Porcentaje pase (Iniciado),Pases Intentados (GK),Tiros intentados,% Lanzamiento,Promedio longitud pase,Saques de meta,% Lanzamiento (Saques),Promedio longitud saques,Cruces superados,Cruces detenidos,% Cruces detenidos,Acciones defensivas fuera del área,OPA/90,Distancia promedio defensiva,Temporada
Levante,3,38.0,58,5,1,8,3,57.9,0.29,+2.9,+0.08,280,745,37.6,748,113,62.4,44.1,330,84.2,56.4,601,30,5.0,42,1.11,14.7,2017-2018
Málaga,2,38.0,61,6,1,3,0,66.6,0.36,+5.6,+0.15,308,822,37.5,791,91,67.0,48.6,314,93.0,60.9,537,29,5.4,20,0.53,11.1,2017-2018
Real Madrid,3,38.0,44,2,0,7,2,45.4,0.30,+3.4,+0.09,105,277,37.9,756,184,20.2,31.0,243,51.0,44.3,434,18,4.1,36,0.95,13.3,2017-2018
Real Sociedad,3,38.0,59,6,2,7,1,52.7,0.30,-5.3,-0.14,234,559,41.9,1356,149,30.8,35.1,246,57.7,43.8,470,28,6.0,49,1.29,14.8,2017-2018
Sevilla,2,38.0,58,5,1,6,1,51.7,0.32,-5.3,-0.14,165,455,36.3,754,188,35.1,33.6,290,65.5,49.1,548,30,5.5,26,0.68,12.0,2017-2018
Valencia,2,38.0,38,3,1,5,0,50.7,0.28,+12.7,+0.33,188,536,35.1,647,181,45.7,39.7,311,77.2,55.8,622,23,3.7,10,0.26,9.6,2017-2018
Villarreal,3,38.0,50,5,1,6,0,50.8,0.28,+0.8,+0.02,180,532,33.8,726,184,39.3,32.0,332,74.4,52.8,687,31,4.5,36,0.95,16.1,2017-2018
Alaves,2,38.0,50,6,3,2,2,52.6,0.29,+4.6,+0.12,325,794,40.9,805,98,61.6,48.9,337,88.4,57.0,632,21,3.3,42,1.11,8.6,2018-2019
Athletic Club,2,38.0,45,5,0,6,0,42.8,0.32,-2.2,-0.06,358,825,43.4,901,123,64.9,36.7,264,90.9,62.7,508,22,4.3,36,0.95,11.1,2018-2019
Atletico de Madrid,2,38.0,29,5,0,4,2,42.3,0.28,+15.3,+0.40,220,596,36.9,583,104,56.6,33.3,302,88.1,57.2,555,22,4.0,16,0.42,,2018-2019
Barcelona,2,38.0,36,2,0,2,1,40.4,0.30,+5.4,+0.14,125,244,51.2,970,211,15.7,27.3,224,41.1,37.8,440,8,1.8,38,1.00,16.2,2018-2019
Betis,2,38.0,52,4,2,8,0,51.5,0.31,-0.5,-0.01,128,337,38.0,1153,195,20.3,30.6,276,37.3,36.8,466,25,5.4,58,1.53,18.7,2018-2019
Celta Vigo,2,38.0,62,6,4,5,1,59.7,0.32,-1.3,-0.03,257,669,38.4,925,161,44.3,38.0,348,74.4,55.1,581,20,3.4,37,0.97,15.6,2018-2019
Eibar,2,38.0,50,3,2,3,1,44.1,0.31,-4.9,-0.13,325,855,38.0,912,108,69.4,44.6,235,94.5,66.5,403,20,5.0,84,2.21,18.1,2018-2019
Espanyol,1,38.0,50,6,5,7,2,51.8,0.27,+3.8,+0.10,226,562,40.2,868,133,39.9,35.4,333,64.9,47.6,674,24,3.6,19,0.50,12.3,2018-2019
Getafe,2,38.0,35,4,1,2,2,40.1,0.26,+7.1,+0.19,359,963,37.3,832,52,83.5,50.3,282,95.0,59.3,475,20,4.2,38,1.00,15.5,2018-2019
Girona,2,38.0,53,8,2,6,2,61.0,0.27,+10.0,+0.26,223,578,38.6,896,177,40.5,38.2,328,65.5,48.4,554,19,3.4,27,0.71,9.6,2018-2019
Huesca,3,38.0,65,9,2,1,3,61.5,0.31,-0.5,-0.01,332,851,39.0,782,75,71.9,51.2,310,93.2,61.9,525,7,1.3,12,0.32,11.6,2018-2019
Leganés,2,38.0,43,3,2,3,1,43.2,0.30,+1.2,+0.03,344,834,41.2,894,112,63.0,39.8,307,88.3,60.3,585,28,4.8,30,0.79,15.7,2018-2019
Levante,3,38.0,66,8,1,6,2,68.9,0.27,+4.9,+0.13,207,577,35.9,662,184,48.2,40.5,394,65.5,47.8,595,19,3.2,32,0.84,11.8,2018-2019
Rayo Vallecano,2,38.0,70,7,0,10,1,65.8,0.30,-3.2,-0.08,240,581,41.3,887,197,44.2,37.2,306,61.8,46.5,574,13,2.3,35,0.92,15.5,2018-2019
Real Madrid,3,38.0,46,6,0,6,0,47.9,0.31,+1.9,+0.05,126,363,34.7,923,233,27.1,32.3,256,44.1,42.5,400,26,6.5,38,1.00,14.2,2018-2019
