Equipo,GC,PD,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,Att (GK),TI,Opp,Stp,Temporada
Real Sociedad,0.97,0.13,0.03,0.21,0.00,0.93,0.24,-0.04,-0.04,5.55,13.7,28.8,3.66,13.7,0.55,2021-2022
Sevilla,0.79,0.05,0.05,0.16,0.00,0.82,0.24,0.03,+0.03,4.76,11.7,27.7,3.82,13.2,0.84,2021-2022
Valencia,1.39,0.18,0.00,0.18,0.08,1.42,0.29,0.11,+0.11,6.53,16.4,19.7,3.68,14.1,0.53,2021-2022
Villarreal,0.97,0.11,0.00,0.08,0.03,0.98,0.26,0.03,+0.03,3.84,10.1,32.4,5.24,15.3,0.66,2021-2022
Almería,1.71,0.11,0.03,0.13,0.03,1.67,0.29,-0.02,-0.01,5.37,15.1,26.1,5.79,16.9,1.05,2022-2023
Athletic Club,1.13,0.08,0.03,0.03,0.08,0.98,0.29,-0.07,-0.07,4.50,11.9,24.3,4.92,11.9,0.76,2022-2023
Atlético Madrid,0.87,0.11,0.03,0.13,0.00,0.96,0.26,0.09,+0.09,4.37,13.8,21.4,4.34,15.1,1.26,2022-2023
Barcelona,0.53,0.08,0.00,0.05,0.08,0.66,0.22,0.21,+0.21,4.45,8.89,32.0,5.00,9.87,0.47,2022-2023
Betis,1.08,0.08,0.03,0.18,0.03,1.16,0.29,0.11,+0.10,6.03,16.7,25.2,3.92,15.3,0.58,2022-2023
Cádiz,1.39,0.24,0.03,0.18,0.00,1.41,0.22,0.01,+0.01,7.11,21.8,24.1,3.95,17.1,1.16,2022-2023
Celta Vigo,1.39,0.13,0.03,0.26,0.03,1.13,0.27,-0.24,-0.24,4.84,13.3,24.6,4.50,13.4,0.58,2022-2023
Elche,1.76,0.18,0.00,0.16,0.05,1.89,0.31,0.18,+0.18,5.13,11.6,21.6,4.61,15.8,0.58,2022-2023
Espanyol,1.82,0.13,0.03,0.24,0.05,1.43,0.27,-0.33,-0.33,8.03,17.3,22.8,3.21,14.7,0.71,2022-2023
Getafe,1.18,0.11,0.00,0.18,0.05,1.20,0.23,0.07,+0.07,10.8,23.8,20.6,2.61,15.4,0.95,2022-2023
Girona,1.45,0.16,0.05,0.13,0.00,1.63,0.33,0.18,+0.18,4.45,12.2,28.3,5.05,15.7,1.13,2022-2023
Mallorca,1.13,0.16,0.00,0.08,0.00,1.09,0.24,-0.04,-0.04,9.24,22.1,25.0,3.42,17.3,0.92,2022-2023
Osasuna,1.11,0.03,0.03,0.08,0.05,1.03,0.26,-0.02,-0.02,9.00,20.8,28.5,3.82,14.1,0.79,2022-2023
Rayo Vallecano,1.39,0.11,0.00,0.29,0.11,1.21,0.30,-0.08,-0.08,4.05,14.3,21.9,5.37,13.5,0.63,2022-2023
