idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_local,GCA90_local,SCA90_visitante,GCA90_visitante
265,Sevilla,Athletic Club,2,0,2017-2018,24.39,2.37,19.5,1.79
266,Valencia,Betis,2,0,2017-2018,22.63,3.0,19.05,2.45
267,Real Sociedad,Alaves,2,1,2017-2018,24.26,2.84,17.5,1.87
268,Levante,Espanyol,1,1,2017-2018,19.16,2.08,19.05,1.58
269,Barcelona,Atletico de Madrid,1,0,2017-2018,27.24,4.47,18.45,2.74
270,Celta Vigo,Las Palmas,2,1,2017-2018,21.11,2.71,19.26,1.08
271,Girona,Deportivo de La Coruna,2,0,2017-2018,20.89,2.32,21.53,1.76
272,Eibar,Real Madrid,1,2,2017-2018,21.29,1.89,33.95,4.37
273,Sevilla,Valencia,0,2,2017-2018,24.39,2.37,22.63,3.0
274,Malaga,Barcelona,0,2,2017-2018,18.08,0.89,27.24,4.47
275,Getafe,Levante,0,1,2017-2018,16.55,1.68,19.16,2.08
276,Las Palmas,Villarreal,0,2,2017-2018,19.26,1.08,21.87,2.5
277,Espanyol,Real Sociedad,2,1,2017-2018,19.05,1.58,24.26,2.84
278,Atletico de Madrid,Celta Vigo,3,0,2017-2018,18.45,2.74,21.11,2.71
279,Athletic Club,Leganes,2,0,2017-2018,19.5,1.79,17.84,1.45
280,Alaves,Betis,1,3,2017-2018,17.5,1.87,19.05,2.45
281,Levante,Eibar,2,1,2017-2018,19.16,2.08,21.29,1.89
282,Real Sociedad,Getafe,1,2,2017-2018,24.26,2.84,16.55,1.68
283,Deportivo de La Coruna,Las Palmas,1,1,2017-2018,21.53,1.76,19.26,1.08
284,Valencia,Alaves,3,1,2017-2018,22.63,3.0,17.5,1.87
285,Betis,Espanyol,3,0,2017-2018,19.05,2.45,19.05,1.58
286,Barcelona,Athletic Club,2,0,2017-2018,27.24,4.47,19.5,1.79
287,Leganes,Sevilla,2,1,2017-2018,17.84,1.45,24.39,2.37
288,Villarreal,Atletico de Madrid,2,1,2017-2018,21.87,2.5,18.45,2.74
289,Celta Vigo,Malaga,0,0,2017-2018,21.11,2.71,18.08,0.89
290,Real Madrid,Girona,6,3,2017-2018,33.95,4.37,20.89,2.32
291,Athletic Club,Celta Vigo,1,1,2017-2018,19.5,1.79,21.11,2.71
292,Girona,Levante,1,1,2017-2018,20.89,2.32,19.16,2.08
293,Sevilla,Barcelona,2,2,2017-2018,24.39,2.37,27.24,4.47
294,Las Palmas,Real Madrid,0,3,2017-2018,19.26,1.08,33.95,4.37
295,Espanyol,Alaves,0,0,2017-2018,19.05,1.58,17.5,1.87
296,Atletico de Madrid,Deportivo de La Coruna,1,0,2017-2018,18.45,2.74,21.53,1.76
297,Leganes,Valencia,0,1,2017-2018,17.84,1.45,22.63,3.0
298,Eibar,Real Sociedad,0,0,2017-2018,21.29,1.89,24.26,2.84
299,Malaga,Villarreal,1,0,2017-2018,18.08,0.89,21.87,2.5
300,Getafe,Betis,0,1,2017-2018,16.55,1.68,19.05,2.45
301,Deportivo de La Coruna,Malaga,3,2,2017-2018,21.53,1.76,18.08,0.89
302,Celta Vigo,Sevilla,4,0,2017-2018,21.11,2.71,24.39,2.37
303,Betis,Eibar,2,0,2017-2018,19.05,2.45,21.29,1.89
304,Barcelona,Leganes,3,1,2017-2018,27.24,4.47,17.84,1.45
305,Alaves,Getafe,2,0,2017-2018,17.5,1.87,16.55,1.68
306,Valencia,Espanyol,1,0,2017-2018,22.63,3.0,19.05,1.58
307,Real Madrid,Atletico de Madrid,1,1,2017-2018,33.95,4.37,18.45,2.74
308,Real Sociedad,Girona,5,0,2017-2018,24.26,2.84,20.89,2.32
309,Levante,Las Palmas,2,1,2017-2018,19.16,2.08,19.26,1.08
310,Villarreal,Athletic Club,1,3,2017-2018,21.87,2.5,19.5,1.79
311,Girona,Betis,0,1,2017-2018,20.89,2.32,19.05,2.45
312,Barcelona,Valencia,2,1,2017-2018,27.24,4.47,22.63,3.0
313,Las Palmas,Real Sociedad,0,1,2017-2018,19.26,1.08,24.26,2.84
314,Leganes,Celta Vigo,1,0,2017-2018,17.84,1.45,21.11,2.71
315,Athletic Club,Deportivo de La Coruna,2,3,2017-2018,19.5,1.79,21.53,1.76
316,Sevilla,Villarreal,2,2,2017-2018,24.39,2.37,21.87,2.5
317,Atletico de Madrid,Levante,3,0,2017-2018,18.45,2.74,19.16,2.08
318,Getafe,Espanyol,1,0,2017-2018,16.55,1.68,19.05,1.58
319,Eibar,Alaves,0,1,2017-2018,21.29,1.89,17.5,1.87
320,Malaga,Real Madrid,1,2,2017-2018,18.08,0.89,33.95,4.37
321,Villarreal,Leganes,2,1,2017-2018,21.87,2.5,17.84,1.45
322,Deportivo de La Coruna,Sevilla,0,0,2017-2018,21.53,1.76,24.39,2.37
323,Celta Vigo,Barcelona,2,2,2017-2018,21.11,2.71,27.24,4.47
324,Espanyol,Eibar,0,1,2017-2018,19.05,1.58,21.29,1.89
325,Valencia,Getafe,1,2,2017-2018,22.63,3.0,16.55,1.68
326,Real Madrid,Athletic Club,1,1,2017-2018,33.95,4.37,19.5,1.79
